Reference,Pin,Handoff net,KiCad native netlist,PCB pad net,Pass
J1,1,GND,GND,GND,True
J1,2,+5V_IN,+5V_IN,+5V_IN,True
J1,3,A_OUT,A_OUT,A_OUT,True
J1,4,B_OUT,B_OUT,B_OUT,True
J1,5,Z_OUT,Z_OUT,Z_OUT,True
J1,6,NC,NC,NC,True
U1,1,NC,NC,NC,True
U1,2,A_OUT,A_OUT,A_OUT,True
U1,3,Z_OUT,Z_OUT,Z_OUT,True
U1,4,SPI_COPI,SPI_COPI,SPI_COPI,True
U1,5,SPI_CS,SPI_CS,SPI_CS,True
U1,6,B_OUT,B_OUT,B_OUT,True
U1,7,SPI_CIPO,SPI_CIPO,SPI_CIPO,True
U1,8,GND,GND,GND,True
U1,9,NC,NC,NC,True
U1,10,GND,GND,GND,True
U1,11,NC,NC,NC,True
U1,12,SPI_SCLK,SPI_SCLK,SPI_SCLK,True
U1,13,+3V3,+3V3,+3V3,True
U1,14,+3V3,+3V3,+3V3,True
U1,15,NC,NC,NC,True
U1,16,NC,NC,NC,True
U1,17,NC,NC,NC,True
U2,1,+5V_IN,+5V_IN,+5V_IN,True
U2,2,GND,GND,GND,True
U2,3,+5V_IN,+5V_IN,+5V_IN,True
U2,4,NC,NC,NC,True
U2,5,+3V3,+3V3,+3V3,True
C1,1,+5V_IN,+5V_IN,+5V_IN,True
C1,2,GND,GND,GND,True
C2,1,+3V3,+3V3,+3V3,True
C2,2,GND,GND,GND,True
C3,1,+3V3,+3V3,+3V3,True
C3,2,GND,GND,GND,True
C4,1,+3V3,+3V3,+3V3,True
C4,2,GND,GND,GND,True
TP1,1,+5V_IN,+5V_IN,+5V_IN,True
TP2,1,GND,GND,GND,True
TP3,1,SPI_CS,SPI_CS,SPI_CS,True
TP4,1,SPI_SCLK,SPI_SCLK,SPI_SCLK,True
TP5,1,SPI_COPI,SPI_COPI,SPI_COPI,True
TP6,1,SPI_CIPO,SPI_CIPO,SPI_CIPO,True
TP7,1,+3V3,+3V3,+3V3,True
